Created On,Main Variant Image,More Variant Images,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Product Categories,Product Description,Product Handle,Product ID,Product Name,Product Tax Class,Product Type,Products Collection ID,Published On,Requires Shipping,Updated On,Variant Compare-at Price,Variant Height,Variant ID,Variant Length,Variant Price,Variant Weight,Variant Width,Variants Collection ID
2024-12-31T17:09:39.000Z,,,Versatile,pink,Luxurious,Cotton,Medium;Sweet,"Maecenas euismod sapien eu arcu convallis, vitae vestibulum ipsum maximus.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
Fusce aliquet ",roadhouse-rub,6774255342d8ecddf8318586,Roadhouse Rub,standard-taxable,Physical,6733666494079955,2025-01-08T19:43:44.000Z,True,2025-01-08T19:43:44.000Z,"$3,725.52",22,67742554c7f918a28c5efb46,93,$97.64,35,5,6733666494079956
2024-11-19T18:44:47.000Z,,,Sleek,Velvet,Modern,Satin,Mild;Sweet,"Praesent nec orci at nulla consequat congue ut non arcu.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
Praesent nec orci at nulla consequat congue ut non arcu.
Sed auctor augue id tellus lacinia, nec ultricies est fermentum.
Lorem ipsum dolor sit amet, consectetur adipisc",spice-3,673cdc9f91604d9b50867804,Spice 3,standard-taxable,Physical,6733666494079955,2024-12-02T22:27:41.000Z,True,2025-07-31T18:24:46.000Z,"$8,104.18",48,673cdca191604d9b50867b23,19,$10.82,51,50,6733666494079956
2025-01-08T19:56:35.000Z,https://cdn.prod.website-files.com/673ba109cf98a2fb6469de84/673cdc9e91604d9b508677a8_image17.jpeg,,High-quality,Wool,High-quality,blue,Medium;Spicy,"Sed auctor augue id tellus lacinia, nec ultricies est fermentum.
Integer rutrum ante et nunc venenatis, id ultricies risus ultricies.
Praesent nec orci at nulla consequat congue ut non arcu.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
",where-theres-hickory-smoke-copy,677ed873e6c6b4d407238642,Where There's Hickory Smoke Copy,standard-taxable,Physical,6733666494079955,,True,2025-01-08T19:56:37.000Z,"$1,072.26",98,677ed874265479da97a388da,61,$4.68,28,50,6733666494079956
2024-11-19T18:44:47.000Z,,,Sleek,Leather,Modern,Satin,Mild;Sweet,"Praesent nec orci at nulla consequat congue ut non arcu.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
Praesent nec orci at nulla consequat congue ut non arcu.
Sed auctor augue id tellus lacinia, nec ultricies est fermentum.
Lorem ipsum dolor sit amet, consectetur adipisc",spice-3,673cdc9f91604d9b50867804,Spice 3,standard-taxable,Physical,6733666494079955,2024-12-02T22:27:41.000Z,True,2025-07-31T18:24:46.000Z,"$8,104.18",48,673cdca191604d9b50867afd,19,$10.82,51,50,6733666494079956
2024-12-31T17:17:50.000Z,https://cdn.prod.website-files.com/673ba109cf98a2fb6469de84/673cdc9e91604d9b508677a8_image17.jpeg,,High-quality,Satin,High-quality,blueGrey,Medium;Spicy,"Sed auctor augue id tellus lacinia, nec ultricies est fermentum.
Integer rutrum ante et nunc venenatis, id ultricies risus ultricies.
Praesent nec orci at nulla consequat congue ut non arcu.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
",where-theres-hickory-smoke,6774273ea7f204c3b32f2f07,Where There's Hickory Smoke,standard-taxable,Physical,6733666494079955,2025-01-08T19:42:12.000Z,True,2025-01-08T19:42:12.000Z,"$1,072.26",98,6774273fa20ecd95df4dd615,61,$4.68,28,50,6733666494079956
2024-12-31T17:09:39.000Z,,,Versatile,pink,Luxurious,Polyester,Medium;Sweet,"Maecenas euismod sapien eu arcu convallis, vitae vestibulum ipsum maximus.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
Fusce aliquet ",roadhouse-rub,6774255342d8ecddf8318586,Roadhouse Rub,standard-taxable,Physical,6733666494079955,2025-01-08T19:43:44.000Z,True,2025-01-08T19:43:44.000Z,"$3,725.52",22,67742555c7f918a28c5efbef,93,$97.64,35,5,6733666494079956
2024-12-31T17:05:13.000Z,,,Versatile,brown,Luxurious,Nylon,Medium;Sweet,"Maecenas euismod sapien eu arcu convallis, vitae vestibulum ipsum maximus.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
Fusce aliquet ",hoppin-honey-mustard,677424498843cf82939c3936,Hoppin Honey Mustard,standard-taxable,Physical,6733666494079955,2025-01-08T19:44:13.000Z,True,2025-01-08T19:44:13.000Z,"$3,725.52",22,6774244ae339edfdd577d948,93,$97.64,35,5,6733666494079956
2024-11-19T18:44:47.000Z,https://cdn.prod.website-files.com/673ba109cf98a2fb6469de84/673cdc9e91604d9b508677a8_image17.jpeg,,High-quality,Satin,High-quality,blueGrey,Medium;Spicy,"Sed auctor augue id tellus lacinia, nec ultricies est fermentum.
Integer rutrum ante et nunc venenatis, id ultricies risus ultricies.
Praesent nec orci at nulla consequat congue ut non arcu.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
",spice-2,673cdc9f91604d9b50867808,Spice 2,standard-taxable,Physical,6733666494079955,2024-12-02T22:27:41.000Z,True,2025-07-31T18:24:46.000Z,"$1,072.26",98,673cdca191604d9b50867b9a,61,$4.68,28,50,6733666494079956
2024-11-19T18:44:47.000Z,,,Sleek,Leather,Modern,Polyester,Mild;Sweet,"Praesent nec orci at nulla consequat congue ut non arcu.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
Praesent nec orci at nulla consequat congue ut non arcu.
Sed auctor augue id tellus lacinia, nec ultricies est fermentum.
Lorem ipsum dolor sit amet, consectetur adipisc",spice-3,673cdc9f91604d9b50867804,Spice 3,standard-taxable,Physical,6733666494079955,2024-12-02T22:27:41.000Z,True,2025-07-31T18:24:46.000Z,"$8,104.18",48,673cdca191604d9b50867b31,19,$10.82,51,50,6733666494079956
2024-12-31T17:09:39.000Z,,,Versatile,brown,Luxurious,Cotton,Medium;Sweet,"Maecenas euismod sapien eu arcu convallis, vitae vestibulum ipsum maximus.
Cras sit amet velit id nulla tempus dictum sit amet eu nisi.
Fusce aliquet ",roadhouse-rub,6774255342d8ecddf8318586,Roadhouse Rub,standard-taxable,Physical,6733666494079955,2025-01-08T19:43:44.000Z,True,2025-01-08T19:43:44.000Z,"$3,725.52",22,67742554c7f918a28c5efb44,93,$97.64,35,5,6733666494079956
